datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2011-06-21,Grüne,0.23,0.02604,0.25604,0.20396
2011-06-21,FDP,0.05,0.01349,0.06349,0.03651
2011-06-21,Linke,0.08,0.01679,0.09679,0.06321
2011-07-21,CDU/CSU,0.32,0.02883,0.34883,0.29117
2011-07-21,SPD,0.26,0.02711,0.28711,0.23289
2011-07-21,Grüne,0.22,0.0256,0.2456,0.1944
2011-07-21,FDP,0.05,0.01347,0.06347,0.03653
2011-07-21,Linke,0.08,0.01676,0.09676,0.06324
2011-08-25,CDU/CSU,0.34,0.0293,0.3693,0.3107
2011-08-25,SPD,0.27,0.02746,0.29746,0.24254
2011-08-25,Grüne,0.21,0.02519,0.23519,0.18481
2011-08-25,FDP,0.05,0.01348,0.06348,0.03652
2011-08-25,Linke,0.07,0.01578,0.08578,0.05422
2011-09-21,CDU/CSU,0.33,0.0291,0.3591,0.3009
2011-09-21,SPD,0.29,0.02808,0.31808,0.26192
2011-09-21,Grüne,0.2,0.02476,0.22476,0.17524
2011-09-21,FDP,0.04,0.01213,0.05213,0.02787
2011-09-21,Linke,0.07,0.01579,0.08579,0.05421
2011-10-24,CDU/CSU,0.33,0.02909,0.35909,0.30091
2011-10-24,SPD,0.29,0.02807,0.31807,0.26193
2011-10-24,Grüne,0.17,0.02324,0.19324,0.14676
2011-10-24,FDP,0.04,0.01212,0.05212,0.02788
2011-10-24,Linke,0.06,0.01469,0.07469,0.04531
2011-11-24,CDU/CSU,0.34,0.02933,0.36933,0.31067
2011-11-24,SPD,0.28,0.0278,0.3078,0.2522
2011-11-24,Grüne,0.17,0.02326,0.19326,0.14674
2011-11-24,FDP,0.03,0.01056,0.04056,0.01944
2011-11-24,Linke,0.08,0.0168,0.0968,0.0632
2011-12-13,CDU/CSU,0.34,0.0293,0.3693,0.3107
2011-12-13,SPD,0.3,0.02835,0.32835,0.27165
2011-12-13,Grüne,0.15,0.02209,0.17209,0.12791
2011-12-13,FDP,0.03,0.01055,0.04055,0.01945
2011-12-13,Linke,0.07,0.01578,0.08578,0.05422
2012-01-26,CDU/CSU,0.36,0.02971,0.38971,0.33029
2012-01-26,SPD,0.29,0.02808,0.31808,0.26192
2012-01-26,Grüne,0.15,0.0221,0.1721,0.1279
2012-01-26,FDP,0.03,0.01056,0.04056,0.01944
2012-01-26,Linke,0.07,0.01579,0.08579,0.05421
2012-02-23,CDU/CSU,0.38,0.03007,0.41007,0.34993
2012-02-23,SPD,0.26,0.02717,0.28717,0.23283
2012-02-23,Grüne,0.15,0.02212,0.17212,0.12788
2012-02-23,FDP,0.03,0.01057,0.04057,0.01943
2012-02-23,Linke,0.07,0.01581,0.08581,0.05419
2012-03-22,CDU/CSU,0.37,0.02986,0.39986,0.34014
2012-03-22,SPD,0.27,0.02746,0.29746,0.24254
2012-03-22,Grüne,0.14,0.02146,0.16146,0.11854
2012-03-22,FDP,0.04,0.01212,0.05212,0.02788
2012-03-22,Linke,0.08,0.01678,0.09678,0.06322
2012-04-03,CDU/CSU,0.363235578472446,0.0235487947147921,0.386784373187238,0.339686783757654
2012-04-03,SPD,0.283528843055108,0.022014640670319,0.305543483725427,0.261514202384789
2012-04-03,Grüne,0.146764421527554,0.0172795874959716,0.164044009023526,0.129484834031582
2012-04-03,FDP,0.04,0.00959010634869481,0.0495901063486948,0.0304098936513052
2012-04-03,Linke,0.073235578472446,0.0128160489848534,0.0860516274572994,0.0604195294875927
2012-04-11,CDU/CSU,0.356500485594043,0.0235219779864034,0.380022463580447,0.33297850760764
2012-04-11,SPD,0.276749757202978,0.0219319488507608,0.298681706053739,0.254817808352218
2012-04-11,Grüne,0.14,0.0170254095176432,0.157025409517643,0.122974590482357
2012-04-11,FDP,0.04,0.00961584007769505,0.049615840077695,0.030384159922305
